,name,callsign,frequency,boundary,upper_fl,lower_fl
20,LONDON TMA 20,LONDON ACC,120.530,N51.04.26.00 E000.17.21.00/N51.00.51.00 E000.21.41.00/N50.51.57.00 W000.04.18.00/N50.54.29.00 W000.21.15.00/N50.58.32.00 W000.34.28.00/N50.55.41.00 W000.10.07.00/N50.59.00.00 E000.13.33.00/N51.00.02.00 E000.15.41.00/N51.04.26.00 E000.17.21.00,000,000
21,LONDON TMA 21,LONDON ACC,133.180,N50.57.39.00 W000.41.04.00/N50.46.26.00 W000.29.08.00/N50.46.26.00 W000.49.42.00/N50.48.48.00 W000.52.14.00/N50.51.19.00 W000.54.57.00/N50.55.12.00 W000.59.08.00/N50.56.16.00 W000.51.19.00/N50.57.28.00 W000.42.24.00/N50.57.39.00 W000.41.04.00,000,000
22,LONDON TMA 23,LONDON ACC,129.080,N51.36.07.00 W001.25.47.00/N51.34.23.00 W001.11.38.00/N51.24.35.00 W001.14.44.00/N51.26.19.00 W001.28.50.00/N51.36.07.00 W001.25.47.00,000,000
23,LONDON TMA 24,LONDON ACC,133.180,N51.06.52.00 W000.48.29.00/N50.57.28.00 W000.42.24.00/N50.56.16.00 W000.51.19.00/N51.06.02.00 W000.54.39.00/N51.06.52.00 W000.48.29.00,000,000
24,MANCHESTER TMA 1,SCOTTISH ACC,128.055,N53.51.10.00 W002.03.48.00/N53.47.26.00 W001.59.13.00/N53.37.13.00 W001.48.30.00/N53.36.50.00 W001.52.16.00/N53.27.19.00 W001.46.17.00/N53.26.56.00 W001.50.00.00/N53.07.32.00 W002.00.56.00/N53.06.02.00 W002.22.46.00/N53.06.26.00 W002.43.49.00/N53.14.27.00 W003.01.40.00/N53.23.09.00 W003.12.05.00/N53.27.34.00 W003.03.10.00/N53.32.13.00 W003.14.06.00/N53.32.23.00 W002.59.07.00/N53.51.10.00 W002.03.48.00,000,000
25,MANCHESTER TMA 2,SCOTTISH ACC,128.055,N53.39.18.00 W002.39.00.00/N53.36.30.00 W003.01.36.00/N53.32.22.00 W003.00.59.00/N53.32.23.00 W002.59.07.00/N53.39.18.00 W002.39.00.00,000,000
26,SCOTTISH TMA 1,SCOTTISH ACC,121.375,N55.37.00.00 W004.28.47.00/N55.41.25.00 W004.10.17.00/N55.41.25.00 W002.55.10.00/N55.33.02.00 W004.29.18.00/N55.37.00.00 W004.28.47.00,000,000
27,SCOTTISH TMA 2,SCOTTISH ACC,121.375,N55.43.34.00 W005.00.00.00/N55.33.02.00 W004.29.18.00/N55.41.25.00 W002.55.10.00/N55.27.00.00 W003.00.00.00/N55.06.03.00 W004.14.19.00/N55.12.14.00 W005.02.34.00/N55.15.11.00 W005.00.00.00/N55.43.34.00 W005.00.00.00,000,000
28,SCOTTISH TMA 3,SCOTTISH ACC,121.375,N56.14.00.00 W004.09.26.00/N56.14.00.00 W003.32.59.00/N56.07.00.00 W003.29.38.00/N56.07.00.00 W002.56.08.00/N56.00.08.00 W002.48.49.00/N55.41.25.00 W002.55.10.00/N55.41.25.00 W004.10.17.00/N55.37.00.00 W004.28.47.00/N55.44.28.00 W004.50.35.00/N55.43.34.00 W005.00.00.00/N55.50.00.00 W005.00.00.00/N56.00.00.00 W004.44.00.00/N56.14.00.00 W004.09.26.00,000,000
29,SCOTTISH TMA 4,SCOTTISH ACC,121.375,N56.00.08.00 W002.48.49.00/N55.31.00.00 W002.51.56.00/N55.27.00.00 W003.00.00.00/N56.00.08.00 W002.48.49.00,000,000
30,SCOTTISH TMA 5,SCOTTISH ACC,121.375,N55.44.28.00 W004.50.35.00/N55.37.00.00 W004.28.47.00/N55.33.02.00 W004.29.18.00/N55.43.34.00 W005.00.00.00/N55.44.28.00 W004.50.35.00,000,000
31,SCOTTISH TMA 6,SCOTTISH ACC,121.375,N55.55.00.00 W004.52.00.00/N55.46.00.00 W004.49.51.00/N55.44.28.00 W004.50.35.00/N55.43.34.00 W005.00.00.00/N55.50.00.00 W005.00.00.00/N55.55.00.00 W004.52.00.00,000,000
32,SCOTTISH TMA 7,SCOTTISH ACC,121.375,N56.14.00.00 W004.09.26.00/N56.14.00.00 W003.32.59.00/N56.07.00.00 W003.29.38.00/N56.07.00.00 W004.09.10.00/N55.55.00.00 W004.52.00.00/N56.00.00.00 W004.44.00.00/N56.14.00.00 W004.09.26.00,000,000
