,name,boundary,floor,ceiling
64,EG D123Z ,N51.18.27.00 W002.00.58.00/N51.18.11.00 W001.59.59.00/N51.14.50.00 W001.57.00.00/N51.14.38.00 W001.56.04.00/N51.10.44.00 W001.51.52.00/N51.10.12.00 W001.51.48.00/N51.09.44.00 W001.52.09.00/N51.09.25.00 W001.52.49.00/N51.09.05.00 W001.57.04.00/N51.10.09.00 W002.07.53.00/N51.12.58.00 W002.13.19.00/N51.13.46.00 W002.13.28.00/N51.16.04.00 W002.10.40.00/N51.18.02.00 W002.03.43.00/N51.18.27.00 W002.00.58.00,0,50000
65,EG D124 LAVINGTON,N51.15.27.00 W001.58.12.00,0,50000
66,EG D124Z ,N51.15.27.00 W001.58.12.00,0,50000
67,EG D125 LARKHILL,N51.18.28.00 W001.50.04.00/N51.10.59.00 W001.46.41.00/N51.10.23.00 W001.53.25.00/N51.13.48.00 W001.57.05.00/N51.13.39.00 W001.57.46.00/N51.17.24.00 W002.01.07.00/N51.18.07.00 W001.56.35.00/N51.18.28.00 W001.50.04.00,0,50000
68,EG D125Z ,N51.18.19.00 W002.01.52.00/N51.19.06.00 W001.56.51.00/N51.19.30.00 W001.49.38.00/N51.19.05.00 W001.48.41.00/N51.11.03.00 W001.45.04.00/N51.10.37.00 W001.45.10.00/N51.10.15.00 W001.45.32.00/N51.10.01.00 W001.46.07.00/N51.09.21.00 W001.53.39.00/N51.09.35.00 W001.54.29.00/N51.12.36.00 W001.57.43.00/N51.12.35.00 W001.57.47.00/N51.12.51.00 W001.58.52.00/N51.17.07.00 W002.02.41.00/N51.17.35.00 W002.02.44.00/N51.18.01.00 W002.02.26.00/N51.18.19.00 W002.01.52.00,0,50000
69,EG D126 BULFORD,N51.16.21.00 W001.37.46.00/N51.15.25.00 W001.36.06.00/N51.12.47.00 W001.37.59.00/N51.12.33.00 W001.39.42.00/N51.10.44.00 W001.43.08.00/N51.10.59.00 W001.46.41.00/N51.13.51.00 W001.47.59.00/N51.09.12.00 W001.45.04.00/N51.13.54.00 W001.42.25.00/N51.16.21.00 W001.37.46.00,0,992
70,EG D127 PORTON,N51.05.52.00 W001.43.15.00/N51.06.32.00 W001.44.35.00/N51.07.30.00 W001.42.48.00/N51.08.01.00 W001.42.48.00/N51.10.12.00 W001.37.50.00/N51.07.52.00 W001.36.50.00/N51.07.03.00 W001.38.43.00/N51.05.52.00 W001.43.15.00,0,12000
71,EG D128 EVERLEIGH,N51.18.52.00 W001.42.15.00/N51.16.21.00 W001.37.46.00/N51.13.54.00 W001.42.25.00/N51.09.12.00 W001.45.04.00/N51.13.51.00 W001.47.59.00/N51.18.28.00 W001.50.04.00/N51.18.52.00 W001.42.15.00,0,50000
72,EG D128Z ,N51.19.25.00 W001.50.57.00/N51.19.53.00 W001.42.03.00/N51.19.45.00 W001.41.26.00/N51.16.57.00 W001.36.27.00/N51.16.33.00 W001.36.10.00/N51.16.07.00 W001.36.11.00/N51.15.43.00 W001.36.29.00/N51.12.57.00 W001.41.44.00/N51.12.52.00 W001.42.34.00/N51.09.12.00 W001.45.04.00/N51.12.46.00 W001.47.57.00/N51.13.07.00 W001.49.18.00/N51.18.39.00 W001.51.48.00/N51.19.25.00 W001.50.57.00,0,50000
73,EG D129 GREEN,N51.52.46.00 W001.13.20.00,0,120
74,EG D130 LONGMOOR,N51.05.59.00 W000.52.13.00/N51.05.41.00 W000.49.38.00/N51.04.46.00 W000.49.40.00/N51.04.26.00 W000.53.01.00/N51.05.59.00 W000.52.13.00,0,1800
75,EG D132 ASH RANGES,N51.17.45.00 W000.39.56.00/N51.16.23.00 W000.39.42.00/N51.15.48.00 W000.40.34.00/N51.15.24.00 W000.43.00.00/N51.16.06.00 W000.43.09.00/N51.16.38.00 W000.42.59.00/N51.17.32.00 W000.41.16.00/N51.17.45.00 W000.39.56.00,0,2500
76,EG D133A ,N51.19.22.00 W000.39.07.00/N51.19.15.00 W000.38.58.00/N51.18.28.00 W000.39.51.00/N51.18.16.00 W000.40.28.00/N51.18.15.00 W000.41.03.00/N51.18.30.00 W000.41.18.00/N51.19.22.00 W000.39.07.00,0,1200
77,EG D133B ,N51.20.40.00 W000.40.29.00/N51.20.34.00 W000.39.57.00/N51.19.22.00 W000.39.07.00/N51.18.30.00 W000.41.18.00/N51.19.15.00 W000.41.46.00/N51.20.19.00 W000.41.58.00/N51.20.40.00 W000.40.29.00,0,1200
78,EG D136 SHOEBURYNESS,N51.32.17.00 E000.48.04.00/N51.30.17.00 E000.51.04.00/N51.30.30.00 E000.47.00.00/N51.32.17.00 E000.48.04.00,0,13000
79,EG D138A ,N51.40.00.00 E001.04.00.00/N51.40.00.00 E001.16.13.00/N51.37.14.00 E001.12.03.00/N51.37.14.00 E000.55.36.00/N51.40.00.00 E001.04.00.00,0,6000
80,EG D138B ,N51.42.00.00 E001.11.24.00/N51.42.00.00 E001.19.12.00/N51.40.00.00 E001.16.13.00/N51.40.00.00 E001.04.00.00/N51.42.00.00 E001.11.24.00,0,5000
81,EG D138C ,N51.37.00.00 E000.54.55.00/N51.37.55.00 E000.57.40.00/N51.36.38.00 E000.58.50.00/N51.35.44.00 E000.56.20.00/N51.37.00.00 E000.54.55.00,0,6000
82,EG D138D ,N51.37.14.00 E000.55.36.00/N51.37.14.00 E001.12.03.00/N51.30.00.00 E000.53.00.00/N51.30.09.00 E000.51.15.00/N51.32.17.00 E000.48.04.00/N51.34.00.00 E000.50.00.00/N51.35.00.00 E000.50.18.00/N51.35.41.00 E000.50.16.00/N51.37.00.00 E000.54.55.00/N51.37.14.00 E000.55.36.00,0,13000
83,EG D139 FINGRINGHOE,N51.50.00.00 E000.54.58.00/N51.49.54.00 E000.58.52.00/N51.48.33.00 E000.58.48.00/N51.48.39.00 E000.54.52.00/N51.50.00.00 E000.54.58.00,0,1500
84,EG D141 HYTHE RANGES,N51.04.19.00 E001.04.26.00/N51.02.12.00 E001.05.31.00/N51.01.20.00 E001.01.48.00/N51.01.58.00 E001.01.11.00/N51.03.23.00 E001.02.14.00/N51.04.19.00 E001.04.26.00,0,3200
85,EG D147 PONTRILAS,N51.58.00.00 W002.53.00.00,0,10000
86,EG D148 KEEVIL,N51.17.44.00 W002.10.16.00/N51.19.37.00 W002.07.45.00/N51.20.55.00 W002.04.10.00/N51.19.46.00 W002.03.05.00/N51.17.05.00 W002.03.12.00/N51.16.02.00 W002.06.57.00/N51.17.01.00 W002.09.29.00/N51.17.44.00 W002.10.16.00,0,3200
87,EG D201A ,N52.34.27.00 W005.21.48.00/N52.09.03.00 W005.00.57.00/N52.10.00.00 W005.08.22.00/N52.13.07.00 W005.16.16.00/N52.20.13.00 W005.21.51.00/N52.34.27.00 W005.21.48.00,0,3200
88,EG D201AZ ,N52.34.47.00 W005.23.27.00/N52.35.20.00 W005.22.44.00/N52.35.30.00 W005.21.38.00/N52.35.12.00 W005.20.36.00/N52.09.14.00 W004.59.17.00/N52.08.40.00 W004.59.23.00/N52.08.13.00 W004.59.57.00/N52.08.01.00 W005.00.50.00/N52.09.04.00 W005.08.59.00/N52.12.25.00 W005.17.32.00/N52.19.59.00 W005.23.29.00/N52.34.47.00 W005.23.27.00,0,3200
